=== Run Configuration Info ===
File:                 crypto_RandomSD.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          13,597,200,000,000
Start Time:           4/17/2026 2:48:37 PM UTC
End Time:             4/29/2026 11:46:42 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=10000000000

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

crypto_RandomSD.tkr : 20260429_114642.54 | 13597200000000 flips → heads: 50+6.2e-05% (Z:+0.1244) | a: 50+2.4e-04% (Z:+0.4728) | aHeads: 50-3.3e-04% | aTails: 50+8.0e-04% | aSame: 50-3.2e-04% | aDiff: 50+7.9e-04% | [RATE] H/T: 50+3.0e-04%/ 50+1.7e-04% S/D: 50-3.2e-04%/ 50+7.9e-04% | wallclock: 11.20:42:21 | fps: 13266313 | Z(1.96) in 03:23:19 | Z(3.00) in 08:13:12

segments              : 135
Edge Excursion Score  : +1.735120   // median(best TrueZ per segment)
Edge Settlement Score : -0.684845   // mean(end TrueZ per segment)
Edge Persistence Index: -0.346048   // settlement * fraction positive

avgBestTrueZ          : +1.774402
medianBestTrueZ       : +1.735120
avgEndTrueZ           : -0.684845
medianEndTrueZ        : -0.620220
avgMeanTrueZ          : -0.788632
avgPctAbove50         :  50.5294%

bestTrueZ >= 1.96     :  34.8148%
bestTrueZ >= 3.00     :   1.4815%
endTrueZ  >= 0.00     :  29.6296%
endTrueZ  >= 1.96     :   0.7407%
meanTrueZ >= 0.00     :   2.2222%

idx | span                  | bestTrueZ | aAtBestTrueZ     | endTrueZ  | meanTrueZ | %>50
----+-----------------------+-----------+------------------+-----------+-----------+---------
  0 | 200,000,000..99,800,… | +1.000820 |  50+1.25697e-03% | -0.651200 | -1.491583 |  33.667%
  1 | 100,000,000,000..199… | +2.059040 |  50+1.06711e-03% | -1.736420 | -0.654435 |  51.800%
  2 | 200,000,000,000..299… | +1.701900 |  50+9.76710e-04% | -0.866380 | -0.469975 |  51.200%
  3 | 300,000,000,000..399… | +1.890160 |  50+1.00784e-03% | -2.936580 | -1.064718 |  59.600%
  4 | 400,000,000,000..499… | +1.972320 |  50+1.00625e-03% | -0.095460 | -1.052897 |  39.600%
  5 | 500,000,000,000..599… | +1.127720 |  50+6.36080e-04% | +0.686140 | -0.653206 |  46.200%
  6 | 600,000,000,000..699… | +1.442720 |  50+8.23320e-04% | +0.436200 | -0.815713 |  46.000%
  7 | 700,000,000,000..799… | +0.782440 |  50+4.53320e-04% | -1.219240 | -1.119510 |  37.400%
  8 | 800,000,000,000..899… | +1.365840 |  50+7.75620e-04% | -1.167740 | -0.511003 |  76.800%
  9 | 900,000,000,000..999… | +1.519140 |  50+8.12880e-04% | +0.162580 | -0.742218 |  49.600%
 10 | 1,000,000,000,000..1… | +0.833180 |  50+4.24850e-04% | -1.256520 | -1.147531 |  57.000%
 11 | 1,100,000,000,000..1… | +2.443060 |  50+1.23209e-03% | -1.512360 | -0.807274 |  39.400%
 12 | 1,200,000,000,000..1… | +2.885500 |  50+1.45334e-03% | -1.234960 | -0.768886 |  53.800%
 13 | 1,300,000,000,000..1… | +1.341760 |  50+7.01680e-04% | -0.050580 | -0.928218 |  43.000%
 14 | 1,400,000,000,000..1… | +1.281120 |  50+6.81680e-04% | +1.120120 | -0.997864 |  56.800%
 15 | 1,500,000,000,000..1… | +1.446080 |  50+7.28720e-04% | -1.226560 | -0.779335 |  49.800%
 16 | 1,600,000,000,000..1… | +1.468440 |  50+7.71520e-04% | -3.039580 | -1.414011 |  41.600%
 17 | 1,700,000,000,000..1… | +1.882980 |  50+1.00381e-03% | +1.046840 | -1.323590 |  29.400%
 18 | 1,800,000,000,000..1… | +1.858240 |  50+1.01086e-03% | -0.004540 | -0.308509 |  69.800%
 19 | 1,900,000,000,000..1… | +2.070560 |  50+1.03697e-03% | -3.403860 | -1.050977 |  41.800%
 20 | 2,000,000,000,000..2… | +2.918240 |  50+1.46352e-03% | +1.380580 | -0.410464 |  55.800%
 21 | 2,100,000,000,000..2… | +1.999540 |  50+1.50085e-03% | -0.823420 | -0.534551 |  60.400%
 22 | 2,200,000,000,000..2… | +1.438780 |  50+7.55690e-04% | -0.306660 | -0.781770 |  65.600%
 23 | 2,300,000,000,000..2… | +1.652480 |  50+9.06650e-04% | -0.293900 | -0.894187 |  50.200%
 24 | 2,400,000,000,000..2… | +1.399960 |  50+8.97150e-04% | +0.191400 | -0.545699 |  68.000%
 25 | 2,500,000,000,000..2… | +2.363460 |  50+1.26723e-03% | -2.184960 | -0.768766 |  53.600%
 26 | 2,600,000,000,000..2… | +2.336980 |  50+1.33553e-03% | +0.137560 | -0.874301 |  37.600%
 27 | 2,700,000,000,000..2… | +2.019920 |  50+1.04738e-03% | -2.794240 | -0.802299 |  54.000%
 28 | 2,800,000,000,000..2… | +1.336040 |  50+7.94790e-04% | -0.575280 | -1.491309 |  30.200%
 29 | 2,900,000,000,000..2… | +1.365860 |  50+7.12330e-04% | +0.205260 | -1.033414 |  38.200%
 30 | 3,000,000,000,000..3… | +1.337320 |  50+7.75510e-04% | -1.088360 | -0.583119 |  63.200%
 31 | 3,100,000,000,000..3… | +2.790860 |  50+1.40618e-03% | -1.611000 | -1.119205 |  37.600%
 32 | 3,200,000,000,000..3… | +1.996240 |  50+1.00555e-03% | -0.139220 | -1.044257 |  39.800%
 33 | 3,300,000,000,000..3… | +0.921280 |  50+4.75340e-04% | -1.642920 | -1.372727 |  25.600%
 34 | 3,400,000,000,000..3… | +1.383700 |  50+8.86840e-04% | -0.056640 | -1.291044 |  25.200%
 35 | 3,500,000,000,000..3… | +3.192860 |  50+1.76771e-03% | +0.538060 | +0.140673 |  86.600%
 36 | 3,600,000,000,000..3… | +2.154000 |  50+1.15888e-03% | +0.182220 | +0.013534 |  80.800%
 37 | 3,700,000,000,000..3… | +1.481680 |  50+7.68340e-04% | -0.714780 | -0.643028 |  46.000%
 38 | 3,800,000,000,000..3… | +1.557960 |  50+8.24640e-04% | +0.853180 | -0.761222 |  57.400%
 39 | 3,900,000,000,000..3… | +1.891560 |  50+1.26735e-03% | +1.246080 | -0.714363 |  47.200%
 40 | 4,000,000,000,000..4… | +2.329440 |  50+1.17474e-03% | -0.501420 | -0.280340 |  63.400%
 41 | 4,100,000,000,000..4… | +1.618380 |  50+8.64600e-04% | -1.562620 | -0.511666 |  58.000%
 42 | 4,200,000,000,000..4… | +1.681160 |  50+8.54430e-04% | -1.351440 | -0.780408 |  51.400%
 43 | 4,300,000,000,000..4… | +2.983220 |  50+1.52233e-03% | +0.786460 | -0.733919 |  56.200%
 44 | 4,400,000,000,000..4… | +0.902500 |  50+1.04608e-03% | -0.115880 | -0.598835 |  60.600%
 45 | 4,500,000,000,000..4… | +1.581440 |  50+9.95870e-04% | -2.871580 | -1.052268 |  49.600%
 46 | 4,600,000,000,000..4… | +0.235480 |  50+1.18260e-04% | -0.581080 | -1.770321 |  14.200%
 47 | 4,700,000,000,000..4… | +2.195260 |  50+1.10375e-03% | +1.470120 | -0.823406 |  51.400%
 48 | 4,800,000,000,000..4… | +2.371860 |  50+1.29876e-03% | -2.693400 | -0.824297 |  55.800%
 49 | 4,900,000,000,000..4… | +2.167240 |  50+1.13588e-03% | -1.972060 | -0.856476 |  44.400%
 50 | 5,000,000,000,000..5… | +1.193520 |  50+6.08530e-04% | -1.545300 | -0.841445 |  44.600%
 51 | 5,100,000,000,000..5… | +2.106520 |  50+1.25584e-03% | -0.821860 | -0.292337 |  55.600%
 52 | 5,200,000,000,000..5… | +0.592800 |  50+6.21390e-04% | -0.620220 | -1.126425 |  31.200%
 53 | 5,300,000,000,000..5… | +2.141220 |  50+1.07668e-03% | -1.117520 | -0.406803 |  58.400%
 54 | 5,400,000,000,000..5… | +1.815380 |  50+9.08480e-04% | -1.529480 | -0.512595 |  59.800%
 55 | 5,500,000,000,000..5… | +1.898640 |  50+1.12870e-03% | -0.484200 | -0.562359 |  49.600%
 56 | 5,600,000,000,000..5… | +2.370360 |  50+1.29387e-03% | +0.776920 | -0.528195 |  58.000%
 57 | 5,700,000,000,000..5… | +1.781680 |  50+8.91820e-04% | -0.088320 | -0.306125 |  68.400%
 58 | 5,800,000,000,000..5… | +1.776380 |  50+9.34830e-04% | -2.997360 | -0.440314 |  63.400%
 59 | 5,900,000,000,000..5… | +1.473280 |  50+7.87690e-04% | -0.793200 | -0.780488 |  59.200%
 60 | 6,000,000,000,000..6… | +1.538720 |  50+1.09021e-03% | -1.581140 | -1.167394 |  34.400%
 61 | 6,100,000,000,000..6… | +2.663660 |  50+1.46482e-03% | +0.300580 | -0.683007 |  46.600%
 62 | 6,200,000,000,000..6… | +1.522620 |  50+7.71140e-04% | +0.722200 | -0.826374 |  45.000%
 63 | 6,300,000,000,000..6… | +1.420840 |  50+8.26980e-04% | -0.149800 | -0.892096 |  47.000%
 64 | 6,400,000,000,000..6… | +2.342000 |  50+1.31733e-03% | -1.482900 | -0.824659 |  45.000%
 65 | 6,500,000,000,000..6… | +2.609740 |  50+1.42359e-03% | -1.030280 | -0.540266 |  58.000%
 66 | 6,600,000,000,000..6… | +1.693620 |  50+1.17429e-03% | -0.953960 | -0.889013 |  43.200%
 67 | 6,700,000,000,000..6… | +0.884780 |  50+5.00480e-04% | -1.674860 | -0.892832 |  34.800%
 68 | 6,800,000,000,000..6… | +1.656600 |  50+8.82370e-04% | +0.515860 | -0.610102 |  52.200%
 69 | 6,900,000,000,000..6… | +2.030260 |  50+1.11899e-03% | -0.232520 | -0.706207 |  52.400%
 70 | 7,000,000,000,000..7… | +1.716900 |  50+9.88680e-04% | +0.622600 | -0.803378 |  48.600%
