=== Run Configuration Info ===
File:                 crypto_RandomSD.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          13,597,200,000,000
Start Time:           4/17/2026 2:48:37 PM UTC
End Time:             4/29/2026 11:46:42 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

crypto_RandomSD.tkr : 20260429_114642.54 | 13597200000000 flips → heads: 50+3.9e-05% (Z:+0.2487) | a: 50+3.5e-04% (Z:+2.2083) | aHeads: 50+2.2e-04% | aTails: 50+4.8e-04% | aSame: 50+1.0e-04% | aDiff: 50+6.0e-04% | [RATE] H/T: 50+3.9e-04%/ 50+3.1e-04% S/D: 50+1.0e-04%/ 50+6.0e-04% | wallclock: 11.20:42:21 | fps: 13266313 | Z(1.96) in 00:00:00 | Z(3.00) in 01:46:13

segments              : 135
Edge Excursion Score  : +0.564258   // median(best TrueZ per segment)
Edge Settlement Score : -0.758059   // mean(end TrueZ per segment)
Edge Persistence Index: -0.370328   // settlement * fraction positive

avgBestTrueZ          : +0.591953
medianBestTrueZ       : +0.564258
avgEndTrueZ           : -0.758059
medianEndTrueZ        : -0.765069
avgMeanTrueZ          : -0.779104
avgPctAbove50         :  48.8521%

bestTrueZ >= 1.96     :   8.1481%
bestTrueZ >= 3.00     :   2.2222%
endTrueZ  >= 0.00     :  22.9630%
endTrueZ  >= 1.96     :   1.4815%
meanTrueZ >= 0.00     :  13.3333%

idx | span                  | bestTrueZ | aAtBestTrueZ     | endTrueZ  | meanTrueZ | %>50
----+-----------------------+-----------+------------------+-----------+-----------+---------
  0 | 200,000,000..99,800,… | +0.406957 |  50+8.31748e-05% | -1.294091 | -1.551245 |  17.034%
  1 | 100,000,000,000..199… | -0.586375 |  50+6.90400e-05% | -1.506579 | -1.510997 |  37.200%
  2 | 200,000,000,000..299… | +0.056598 |  50+1.24200e-04% | -0.094090 | -1.087795 |  60.400%
  3 | 300,000,000,000..399… | +1.886615 |  50+3.01193e-04% | -0.837479 | -0.340909 |  89.000%
  4 | 400,000,000,000..499… | -0.520568 |  50-7.77870e-05% | -0.542931 | -1.487326 |   0.000%
  5 | 500,000,000,000..599… | +0.176202 |  50+3.88940e-05% | -0.604571 | -0.663144 |   4.200%
  6 | 600,000,000,000..699… | -0.222384 |  50-1.29210e-05% | -0.841571 | -1.039135 |   0.400%
  7 | 700,000,000,000..799… | -0.304376 |  50-4.01700e-05% | -1.269370 | -1.088486 |   0.000%
  8 | 800,000,000,000..899… | +1.503524 |  50+2.42516e-04% | +0.863624 | -0.561199 |  48.600%
  9 | 900,000,000,000..999… | +1.099271 |  50+1.77172e-04% | -0.286186 | -0.662015 |  37.600%
 10 | 1,000,000,000,000..1… | +0.790860 |  50+1.47314e-04% | -0.145996 | -0.023256 |  92.200%
 11 | 1,100,000,000,000..1… | +0.196605 |  50+7.27920e-05% | -1.292436 | -0.824382 |  23.800%
 12 | 1,200,000,000,000..1… | +0.822597 |  50+1.96871e-04% | -0.209729 | -0.630502 |  88.400%
 13 | 1,300,000,000,000..1… | +0.747025 |  50+1.47645e-04% | -1.443725 | -0.814505 |  47.400%
 14 | 1,400,000,000,000..1… | -0.154838 |  50-1.69030e-05% | -0.828163 | -1.045519 |   0.000%
